id,status,Creativity,Technical Skills,Project Management,Documentation,Presentation,Overall Score
141,Reviewed,3,1,3,3,4,5.6
142,Reviewed,4,5,3,4,1,6.8
143,Reviewed,4,4,5,4,1,7.2
144,Reviewed,2,3,2,4,1,4.8
145,Reviewed,2,3,4,1,4,5.6
146,Reviewed,2,5,1,3,1,4.8
147,Reviewed,3,2,5,3,4,6.8
148,Reviewed,5,3,4,3,5,8.0
149,Reviewed,3,1,2,3,1,4.0
150,Reviewed,4,3,5,1,4,6.8
151,Reviewed,3,2,1,3,1,4.0
152,Reviewed,1,5,2,4,5,6.8
153,Reviewed,5,1,5,4,2,6.8
154,Reviewed,3,5,2,3,5,7.2
155,Reviewed,5,3,5,4,4,8.4
156,Reviewed,2,4,4,1,1,4.8
157,Reviewed,1,5,5,2,4,6.8
158,Reviewed,4,3,1,2,5,6.0
159,Reviewed,5,1,1,4,2,5.2
160,Reviewed,3,3,4,1,4,6.0
161,Reviewed,4,1,2,2,2,4.4
162,Reviewed,5,4,1,2,1,5.2
163,Reviewed,3,4,5,3,2,6.8
164,Reviewed,5,1,1,3,1,4.4
165,Reviewed,5,2,2,4,3,6.4
166,Reviewed,1,1,2,2,5,4.4
167,Reviewed,1,1,4,5,4,6.0
168,Reviewed,2,1,5,4,5,6.8
169,Reviewed,3,1,3,1,4,4.8
170,Reviewed,5,5,5,5,5,10.0
171,Reviewed,5,3,2,3,2,6.0
172,Reviewed,5,1,1,5,4,6.4
173,Reviewed,2,3,2,4,5,6.4
174,Reviewed,4,3,5,5,1,7.2
175,Reviewed,2,4,2,3,3,5.6
176,Reviewed,1,5,5,2,4,6.8
177,Reviewed,3,2,1,1,5,4.8
178,Reviewed,4,5,1,2,3,6.0
179,Reviewed,2,1,4,5,1,5.2
180,Reviewed,1,4,4,5,5,7.6
181,Reviewed,3,1,3,2,4,5.2
182,Reviewed,4,3,2,1,3,5.2
183,Reviewed,3,4,4,4,2,6.8
184,Reviewed,1,5,2,2,1,4.4
185,Reviewed,3,3,3,3,2,5.6
186,Reviewed,4,4,3,2,2,6.0
187,Reviewed,5,5,3,3,1,6.8
188,Reviewed,5,5,1,4,5,8.0
189,Reviewed,4,1,3,2,3,5.2
190,Reviewed,3,4,3,5,1,6.4
191,Reviewed,2,3,4,4,1,5.6
192,Reviewed,2,1,4,2,1,4.0
193,Reviewed,5,5,4,4,4,8.8
194,Reviewed,3,3,1,4,3,5.6
195,Reviewed,2,5,1,1,3,4.8
196,Reviewed,3,4,2,5,5,7.6
197,Reviewed,3,4,4,3,3,6.8
198,Reviewed,1,3,4,1,4,5.2
199,Reviewed,3,3,5,3,3,6.8
200,Reviewed,4,5,1,2,3,6.0
201,Reviewed,3,4,2,2,2,5.2
202,Reviewed,3,4,5,5,2,7.6
203,Reviewed,3,2,3,2,2,4.8
204,Reviewed,4,3,1,2,2,4.8
205,Reviewed,4,2,4,1,2,5.2
206,Reviewed,2,5,2,4,5,7.2
207,Reviewed,3,4,5,4,2,7.2
208,Reviewed,1,5,2,5,4,6.8
209,Reviewed,4,2,1,4,2,5.2
210,Reviewed,1,1,2,3,1,3.2
211,Reviewed,4,4,3,3,2,6.4
212,Reviewed,2,4,4,5,3,7.2
213,Reviewed,5,3,1,1,2,4.8
214,Reviewed,3,5,5,2,4,7.6
215,Reviewed,4,1,5,3,1,5.6
216,Reviewed,4,1,4,3,4,6.4
217,Reviewed,1,1,5,4,2,5.2
218,Reviewed,3,2,4,4,2,6.0
219,Reviewed,3,1,3,4,3,5.6
220,Reviewed,5,2,3,5,5,8.0
221,Reviewed,5,3,5,4,4,8.4
222,Reviewed,2,2,1,4,4,5.2
223,Reviewed,5,4,3,3,3,7.2
224,Reviewed,3,4,3,3,5,7.2
225,Reviewed,1,2,1,5,3,4.8
226,Reviewed,3,1,1,3,4,4.8
227,Reviewed,3,4,3,5,4,7.6
228,Reviewed,2,5,2,3,1,5.2
229,Reviewed,3,2,4,1,4,5.6
230,Reviewed,3,4,4,2,3,6.4
231,Reviewed,4,5,1,4,2,6.4
232,Reviewed,5,2,3,2,1,5.2
233,Reviewed,3,2,2,5,2,5.6
234,Reviewed,3,1,2,4,1,4.4
235,Reviewed,2,3,5,5,2,6.8
236,Reviewed,2,4,5,5,5,8.4
237,Reviewed,4,4,3,5,4,8.0
238,Reviewed,2,3,4,3,3,6.0
239,Reviewed,1,3,5,5,2,6.4
240,Reviewed,5,3,4,5,4,8.4
241,Reviewed,4,2,3,1,5,6.0
242,Reviewed,1,3,2,5,3,5.6
243,Reviewed,4,2,1,3,2,4.8
244,Reviewed,4,2,4,1,4,6.0
245,Reviewed,3,5,2,3,2,6.0
246,Reviewed,1,2,5,2,4,5.6
247,Reviewed,1,3,2,1,4,4.4
248,Reviewed,5,1,1,3,1,4.4
249,Reviewed,4,1,4,4,3,6.4
250,Reviewed,1,1,4,4,4,5.6
251,Reviewed,5,3,5,4,3,8.0
252,Reviewed,4,2,2,5,5,7.2
253,Reviewed,5,1,2,2,2,4.8
254,Reviewed,3,5,1,5,1,6.0
255,Reviewed,3,2,5,3,5,7.2
256,Reviewed,2,1,2,1,3,3.6
257,Reviewed,4,2,3,1,1,4.4
258,Reviewed,4,3,4,4,3,7.2
259,Reviewed,3,5,5,5,3,8.4
260,Reviewed,5,1,5,4,3,7.2
261,Reviewed,4,2,3,2,3,5.6
262,Reviewed,3,2,4,4,2,6.0
263,Reviewed,4,4,1,3,1,5.2
264,Reviewed,2,1,3,5,3,5.6
265,Reviewed,1,5,4,2,4,6.4
266,Reviewed,4,1,3,2,1,4.4
267,Reviewed,2,2,5,5,4,7.2
268,Reviewed,5,4,4,5,4,8.8
269,Reviewed,5,2,3,5,4,7.6
270,Reviewed,3,2,4,2,1,4.8
271,Reviewed,5,2,5,4,5,8.4
272,Reviewed,5,1,2,5,1,5.6
273,Reviewed,4,3,3,3,2,6.0
274,Reviewed,4,4,2,2,4,6.4
275,Reviewed,5,3,4,5,1,7.2
276,Reviewed,3,5,5,1,1,6.0
277,Reviewed,5,1,3,3,5,6.8
278,Reviewed,1,2,1,2,4,4.0
279,Reviewed,5,2,4,2,2,6.0
280,Reviewed,3,4,3,5,4,7.6
281,Reviewed,2,2,3,3,1,4.4
282,Reviewed,2,2,1,5,1,4.4
283,Reviewed,5,4,3,4,4,8.0
284,Reviewed,4,4,4,5,2,7.6
285,Reviewed,1,2,2,4,1,4.0
286,Reviewed,2,5,3,1,1,4.8
287,Reviewed,4,2,3,5,4,7.2
288,Reviewed,5,4,2,1,1,5.2
289,Reviewed,2,3,4,2,5,6.4
290,Reviewed,5,1,3,4,3,6.4
291,Reviewed,2,2,3,1,3,4.4
292,Reviewed,1,3,5,1,4,5.6
293,Reviewed,2,5,4,4,3,7.2
294,Reviewed,5,4,1,5,2,6.8
295,Reviewed,3,5,2,3,5,7.2
296,Reviewed,4,3,3,5,2,6.8
297,Reviewed,1,5,2,4,4,6.4
298,Reviewed,5,2,2,1,1,4.4
299,Reviewed,4,3,4,5,3,7.6
300,Reviewed,1,3,3,2,3,4.8
301,Reviewed,3,1,2,4,5,6.0
302,Reviewed,4,4,2,2,2,5.6
303,Reviewed,3,3,3,5,2,6.4
304,Reviewed,5,4,3,2,2,6.4
305,Reviewed,3,2,5,2,5,6.8
306,Reviewed,5,2,4,2,1,5.6
307,Reviewed,1,5,3,2,4,6.0
308,Reviewed,2,3,5,4,5,7.6
309,Reviewed,5,2,3,4,2,6.4
310,Reviewed,4,3,3,4,5,7.6
311,Reviewed,2,5,2,5,2,6.4
312,Reviewed,4,2,4,5,4,7.6
313,Reviewed,2,2,4,5,2,6.0
314,Reviewed,4,2,2,4,4,6.4
315,Reviewed,2,2,4,3,5,6.4
316,Reviewed,1,1,4,4,4,5.6
317,Reviewed,1,4,2,3,5,6.0
318,Reviewed,4,1,4,1,1,4.4
319,Reviewed,5,1,5,1,2,5.6
320,Reviewed,1,1,1,2,5,4.0
321,Reviewed,1,1,5,1,3,4.4
322,Reviewed,5,1,4,5,4,7.6
323,Reviewed,1,3,3,4,4,6.0
324,Reviewed,5,5,2,2,5,7.6
325,Reviewed,2,5,1,1,2,4.4
326,Reviewed,2,5,1,4,2,5.6
327,Reviewed,2,4,5,1,2,5.6
328,Reviewed,5,3,4,2,2,6.4
329,Reviewed,1,3,4,3,4,6.0
330,Reviewed,2,1,3,4,2,4.8
331,Reviewed,4,4,5,5,5,9.2
332,Reviewed,1,5,2,5,4,6.8
333,Reviewed,5,2,4,5,5,8.4
334,Reviewed,4,5,5,3,3,8.0
335,Reviewed,1,1,3,3,4,4.8
336,Reviewed,5,2,5,3,2,6.8
337,Reviewed,4,3,5,4,1,6.8
338,Reviewed,1,4,5,4,1,6.0
339,Reviewed,3,3,1,4,1,4.8
340,Reviewed,1,5,4,5,2,6.8
341,Reviewed,1,2,4,2,1,4.0
342,Reviewed,5,2,3,3,4,6.8
343,Reviewed,1,3,3,3,3,5.2
344,Reviewed,3,2,1,1,3,4.0
345,Reviewed,2,2,3,4,1,4.8
346,Reviewed,2,2,1,2,5,4.8
347,Reviewed,1,1,2,1,5,4.0
348,Reviewed,3,3,4,5,1,6.4
349,Reviewed,3,4,3,2,4,6.4
350,Reviewed,4,1,1,2,2,4.0
351,Reviewed,1,4,1,1,4,4.4
352,Reviewed,1,2,3,2,3,4.4
353,Reviewed,3,5,1,5,1,6.0
354,Reviewed,4,5,2,2,1,5.6
355,Reviewed,4,2,2,1,1,4.0
356,Reviewed,4,4,2,1,2,5.2
357,Reviewed,1,3,2,4,1,4.4
358,Reviewed,1,4,2,5,3,6.0
359,Reviewed,5,3,4,3,1,6.4
360,Reviewed,4,3,4,1,2,5.6
361,Reviewed,4,3,1,5,1,5.6
362,Reviewed,2,5,4,4,4,7.6
363,Reviewed,2,3,5,2,4,6.4
364,Reviewed,3,5,1,5,4,7.2
365,Reviewed,4,4,1,5,2,6.4
366,Reviewed,5,5,4,3,5,8.8
367,Reviewed,1,5,2,3,5,6.4
368,Reviewed,5,3,5,5,3,8.4
369,Reviewed,2,1,4,1,4,4.8
370,Reviewed,5,5,2,1,4,6.8
371,Reviewed,1,5,2,4,4,6.4
372,Reviewed,4,2,3,4,3,6.4
373,Reviewed,5,4,2,1,1,5.2
374,Reviewed,2,4,4,3,2,6.0
375,Reviewed,2,2,4,1,1,4.0
376,Reviewed,3,1,5,5,5,7.6
377,Reviewed,2,4,3,3,2,5.6
378,Reviewed,3,1,2,2,2,4.0
379,Reviewed,2,3,2,3,4,5.6
380,Reviewed,4,3,3,2,4,6.4
381,Reviewed,3,2,3,1,5,5.6
382,Reviewed,5,4,3,4,1,6.8
383,Reviewed,2,1,4,5,4,6.4
384,Reviewed,5,5,5,1,1,6.8
385,Reviewed,4,5,5,1,4,7.6
386,Reviewed,4,1,3,3,4,6.0
387,Reviewed,4,3,1,4,4,6.4
388,Reviewed,4,5,2,3,4,7.2
389,Reviewed,3,2,4,2,4,6.0
390,Reviewed,4,5,5,5,5,9.6
391,Reviewed,3,5,4,4,5,8.4
392,Reviewed,4,4,3,5,2,7.2
393,Reviewed,2,2,5,2,1,4.8
394,Reviewed,3,3,4,5,1,6.4
395,Reviewed,2,3,2,4,2,5.2
396,Reviewed,3,3,2,3,1,4.8
397,Reviewed,5,1,2,2,5,6.0
398,Reviewed,5,5,3,4,5,8.8
399,Reviewed,1,4,5,3,3,6.4
400,Reviewed,2,2,5,4,2,6.0
401,Reviewed,2,4,4,2,4,6.4
402,Reviewed,3,3,5,4,1,6.4
403,Reviewed,4,4,3,3,4,7.2
404,Reviewed,1,3,2,2,4,4.8
405,Reviewed,4,2,5,1,3,6.0
406,Reviewed,4,3,4,4,2,6.8
407,Reviewed,2,2,3,2,4,5.2
408,Reviewed,3,1,2,5,2,5.2
409,Reviewed,2,4,1,1,5,5.2
410,Reviewed,3,1,5,2,4,6.0
411,Reviewed,5,1,2,5,5,7.2
412,Reviewed,2,3,5,4,4,7.2
413,Reviewed,5,2,1,4,1,5.2
414,Reviewed,2,3,1,2,2,4.0
415,Reviewed,3,4,2,2,3,5.6
416,Reviewed,5,4,3,1,2,6.0
417,Reviewed,3,2,1,2,2,4.0
418,Reviewed,2,3,1,2,5,5.2
419,Reviewed,5,3,5,2,3,7.2
420,Reviewed,3,4,2,5,4,7.2
421,Reviewed,3,4,3,4,5,7.6
422,Reviewed,3,4,1,2,1,4.4
423,Reviewed,4,1,1,1,1,3.2
424,Reviewed,3,4,1,5,4,6.8
425,Reviewed,5,5,2,1,1,5.6
426,Reviewed,1,5,5,3,4,7.2
427,Reviewed,5,2,3,4,1,6.0
428,Reviewed,3,2,5,4,4,7.2
429,Reviewed,1,4,4,4,4,6.8
430,Reviewed,2,1,1,3,1,3.2
431,Reviewed,3,1,1,3,1,3.6
432,Reviewed,5,1,2,3,5,6.4
433,Reviewed,1,1,2,2,2,3.2
434,Reviewed,5,3,1,4,5,7.2
435,Reviewed,3,3,5,4,5,8.0
436,Reviewed,3,3,1,1,3,4.4
437,Reviewed,5,5,1,3,2,6.4
438,Reviewed,2,3,1,2,1,3.6
439,Reviewed,1,2,2,4,2,4.4
440,Reviewed,4,2,4,4,3,6.8
441,Reviewed,2,1,4,5,3,6.0
442,Reviewed,1,4,5,4,4,7.2
443,Reviewed,5,4,1,3,3,6.4
444,Reviewed,3,2,3,5,4,6.8
445,Reviewed,4,1,5,5,5,8.0
446,Reviewed,5,3,2,4,4,7.2
447,Reviewed,2,4,5,5,3,7.6
448,Reviewed,3,3,5,4,5,8.0
449,Reviewed,2,1,1,2,3,3.6
450,Reviewed,3,5,4,2,2,6.4
451,Reviewed,5,2,5,4,3,7.6
452,Reviewed,3,1,2,4,2,4.8
453,Reviewed,5,1,3,2,2,5.2
454,Reviewed,2,5,2,5,4,7.2
455,Reviewed,3,3,1,5,4,6.4
456,Reviewed,1,1,5,5,1,5.2
457,Reviewed,4,5,3,3,2,6.8
458,Reviewed,2,3,5,2,3,6.0
459,Reviewed,2,5,3,2,4,6.4
460,Reviewed,5,3,2,3,4,6.8
461,Reviewed,2,4,1,2,4,5.2
462,Reviewed,4,3,4,4,1,6.4
463,Reviewed,1,2,3,4,3,5.2
464,Reviewed,2,1,5,1,5,5.6
465,Reviewed,5,5,4,1,4,7.6
466,Reviewed,5,4,3,5,2,7.6
467,Reviewed,2,1,3,1,3,4.0
468,Reviewed,1,3,2,3,1,4.0
469,Reviewed,5,1,4,3,5,7.2
470,Reviewed,1,3,4,5,1,5.6
471,Reviewed,1,2,3,5,2,5.2
472,Reviewed,4,5,3,1,2,6.0
473,Reviewed,1,1,4,3,1,4.0
474,Reviewed,1,4,2,1,1,3.6
475,Reviewed,5,5,5,4,1,8.0
476,Reviewed,3,1,2,2,3,4.4
477,Reviewed,5,2,3,2,4,6.4
478,Reviewed,4,4,4,5,4,8.4
479,Reviewed,2,4,4,5,4,7.6
480,Reviewed,3,4,3,2,3,6.0
481,Reviewed,4,4,5,2,1,6.4
482,Reviewed,2,3,4,4,2,6.0
483,Reviewed,2,2,4,3,5,6.4
484,Reviewed,4,5,5,3,5,8.8
485,Reviewed,3,1,3,2,5,5.6
486,Reviewed,4,4,5,3,1,6.8
487,Reviewed,3,1,4,3,2,5.2
488,Reviewed,5,1,3,3,2,5.6
489,Reviewed,5,4,3,4,5,8.4
490,Reviewed,5,1,1,5,4,6.4
491,Reviewed,4,5,2,4,1,6.4
492,Reviewed,5,3,3,1,4,6.4
493,Reviewed,2,5,2,4,4,6.8
494,Reviewed,1,2,2,3,5,5.2
495,Reviewed,3,2,4,4,4,6.8
496,Reviewed,1,3,5,3,5,6.8
497,Reviewed,2,2,1,4,1,4.0
498,Reviewed,3,2,4,5,5,7.6
499,Reviewed,3,4,1,4,4,6.4
500,Reviewed,2,1,5,3,3,5.6
